utterance_id	transcript	asr_transcript
williamson18a-VNT02-bark	B AA R M IH D B AA R DH AH D AO G IH Z B AA R IH NG B AA B AA M S IY AY M DH <spn> B AA B IY EY AA R K EY AY EH N JH IY B AA R K IH NG	AH K AA R IH B AA L DH AH D AA G IH Z B AA R IH NG W AH W AH AH IY S IY AH M DH B AA B IY EY AA R K AE T AY IH N JH IY B AA R K IH NG
williamson18a-VNT03-put	<sil> HH IY Z HH OW D IH NG	HH IY Z HH OW L D IH NG
williamson18a-VNT04-send	OW HH IY Z AH B AW T T UW <sil> M EY L	OW HH IY Z AH B AW T T UW M EY L
williamson18a-VNT05-drive	D R AY V IH NG	D R AY V IH NG
williamson18a-VNT06-wash	W AA SH IH NG	W AA SH IH NG
williamson18a-VNT09-watch	M L UH K IH N AE DX AH K AE T T IY V IY	AH L UH K IH N AE T AH K AE T T IY V IY
williamson18a-VNT10-give	SH IY Z G IH V IH NG	SH IY Z G IH V IH NG
williamson18a-VNT14-crawl	K R AO L IH NG	K R AO L IH NG
williamson18a-VNT17-howl	G R AW G R AW L IH NG IH Z <spn> OW G R AW L IH NG IH Z IH T G R AW L N OW G R AW L IH Z AH D AO G M AH DH AH DH DH IH S W AH N AH M <sil> AE T DH AH AH M <sil> HH AW HH AW L	G R AW G R AW L IH NG IH Z <spn> <spn> OW G R AW L IH NG IH Z IH T G R AW N AO R G R AW L IH Z DH AH D AO G M DH AH B EH DH IH S W AH N AH M AE T DH AH AH M HH AW HH AW
williamson18a-VNT19-bite	K AE T IH Z B AY DX IH NG	K AE T IH Z B AY DX IH NG
williamson18a-VNT20-shove	P UH SH IH NG	P UH SH IH NG
williamson18a-VNT21-tickle	L AE F IH NG	L AE F IH NG
williamson18a-VNT22-shave	SH AW ER N OW N AA T SH AW ER HH IY Z K AH DX IH NG HH IH Z HH EY R HH IH Z N SH EY V IH NG SH EY V IH NG	SH AW ER N OW N AA T SH AW ER HH IY Z K AH DX IH NG HH IH Z HH EY R HH IH Z SH EY V IH NG SH EY V IH NG
wozniak02a-BNT01-house	HH AW S	HH AW SH
wozniak02a-BNT02-comb	K OW M	K R AO M
wozniak02a-BNT03-toothbrush	CH IY K S S P R AW SH	CH IY TH S P R OW SH
wozniak02a-BNT05-bench	B EH N CH	B EH N CH
wozniak02a-BNT08-beaver	B IY V ER	B IY V ER
wozniak02a-BNT09-cactus	K AE CH ER	K AE K S ER
wozniak02a-BNT10-hammock	HH AE M AH K	HH AE M AH K
wozniak02a-BNT11-stethoscope	SH UW P ER AH M	SH UW P ER K AH M
wozniak02a-BNT12-unicorn	Y UW D AH Y UW N AO R N	Y UW N AH Y UW N AO R N
wozniak02a-BNT13-tripod	T R AY B AA G	T R AY B AA G
wozniak02a-BNT15-palette	P AE L AH S	P AE L AH K
wozniak02a-VNT01-cut	SH IY HH IY HH IY IH Z IH Z K AH T IH NG	SH IY HH IY IH Z IH Z P AH T IH NG
wozniak02a-VNT02-bark	AE N D DH IH S F EH L AH IH Z B AA R T IH NG	AE N D DH IH S M EH L AH IH Z B AA R T IH NG
wozniak02a-VNT03-put	<sil> AY D OW N OW D EY R P UH IH N IH T D AW N S AH M W EY R	AY D OW N OW DH EY R P UH IH N IH T D AW N S AH M W EY R
wozniak02a-VNT04-send	HH IY S EH N T IH T T UW HH IH Z IY DH ER HH IH Z M AH DH ER AO R HH IH Z HH IH Z W AY F AO R S AH M B AH D IY	HH IY Z S EH N D IH T T UW HH IH Z B IY DH ER HH IH Z M AH DH ER AO R HH IH Z HH IH Z W AY F F AO R S AH M B AH D IY
wozniak02a-VNT05-drive	DH IH S F EH L AH IH Z AH M D R AY V IH NG	DH IH S F EH L AH IH Z AH D R AY V IH NG
wozniak02a-VNT06-wash	W EH L AY D OW N T N OW M EH N W UH D IH N T D UW DH AE T B AH T AH M W AA SH IH NG	HH <spn> AY D OW N N OW M EH N W UH D AH N D UW DH AE T B AH T AH W AA SH IH NG
wozniak02a-VNT07-read	R IY D IH NG T UW DH IH S M AE N	R IY D IH NG T UW DH IH S M AE N
wozniak02a-VNT08-laugh	OW DH IH S W AH N IH Z L AE F IH NG AE N L AE F IH NG	OW DH IH S W AH N IH Z L AE F IH NG AE N D L AE F IH NG
wozniak02a-VNT10-give	SH IY IH Z G IH V IH N IH NG G IH V IH NG T UW S AH M B AH D IY	SH IY IH Z G IH V IH N IH NG G IH V IH NG T UW S AH M B AH D IY
wozniak02a-VNT11-swim	AE N D DH IH S M AE N IH Z S SH SH SH P R IH NG IH NG SH SH P R IH NG IH NG AH EH S D AH B AH L Y UW AY EH M S P R IH NG Y AE M AY M AY EH S AO R N AA T DH EY R DH EY R W ER K IH NG AA N DH AE T	AE N D DH IH S M AE N IH Z S S P R IH NG IH NG S S P R IH NG IH NG AH EH S D AH B AH Y UW AY EH M S P R IH NG OW Y EH M AY M AH EH S AO R N AA T DH EY R DH EY R W ER K IH N OW N OW
wozniak02a-VNT12-stir	T ER N IH NG	T ER N IH NG
wozniak02a-VNT13-pinch	P IH N CH	P IH N CH
wozniak02a-VNT14-crawl	DH AH L IH L DH AH B EY B IY IH Z T R AA IH Z T R AY N IH NG T UW S IY T R <sil> S IY AA R EY D AH B AH L Y UW AY EH N JH IY SH HH IY SH IY IH Z K R AY N AA T D R AY V IH NG SH IY IH Z AA N Y ER AE AH SH IY IH Z N OW	OW DH AH B EY B IY IH Z T R AY IH Z R AY N IH NG T UW S IY T R S IY ER EY D AH B AH Y UW AA EH N JH IY SH HH IY SH IY IH Z T R AY N OW R AY V IH NG SH IY IH Z AA N Y ER AE SH IY IH Z N OW
wozniak02a-VNT15-deliver	SH IY W EH L HH IY Z B R IH NG IH NG IH T T UW DH AH M AE N	SH IY W EH L HH IY Z B R IH NG IH N IH T T UW DH AH M AE
wozniak02a-VNT16-pour	P IY OW D AH B AH L Y UW N OW P ER N IH NG AH <sil> P ER P P ER L P P IY <sil> P ER N IH NG	P IY OW D AA B AH Y UW N OW P ER N IH NG AH P P P ER L P P IY P ER N IH NG
wozniak02a-VNT17-howl	EY CH OW D AH B AH L Y UW EH L	EY CH OW D AH B AH Y UW EH L
wozniak02a-VNT18-throw	F F OW SH IY IH Z F R OW N IH NG IH T F R OW D F R OW D AH N T AH S AH M B AH D IY	AH F R OW SH IY IH Z F R OW N IH N IH T TH F R OW IH F R OW IH N T AH S AH M B AH D IY
wozniak02a-VNT19-bite	L UH K S L AY K HH IY Z B AY T IH NG HH IH M	L HH IY L UH K S L AY K HH IY Z B AY DX IH NG HH IH M
wozniak02a-VNT20-shove	P UH SH	B UH SH
wozniak02a-VNT21-tickle	T IH N T IH N IY EY T IY T IH AH T IH K AH N IH NG T IH K AH L IH NG T IH K AH L IH NG T IH K AH L IH NG T IH K AH L	T IH N T IH L IH NG EY T T IY T EH T IH K AH L IH NG T IH K AH L IH NG T IH K AH L IH NG T IH K AH L IH NG T IH K AH L IH NG
wozniak02a-VNT22-shave	SH EY V IH NG	SH EY V IH NG
wozniak03a-BNT01-house	AE N HH AW S	AH HH OW S
wozniak03a-BNT02-comb	K OW M	P AO R
wozniak03a-BNT03-toothbrush	B R AH SH	B R UH SH
wozniak03a-BNT04-octopus	AA K T AH B AH S	AA K T AH B UH S
wozniak03a-BNT05-bench	B EH N CH	B EH N CH
wozniak03a-BNT06-volcano	V AA L K EY N OW	K AE T IH N AH
wozniak03a-BNT07-canoe	K AH N UW	K AH M UW
wozniak03a-BNT08-beaver	B IY V ER	B IY V ER
wozniak03a-BNT09-cactus	K AE K T AH S	D AA K T ER S
wozniak03a-BNT10-hammock	HH AE M AA K	HH AE M AH K
wozniak03a-BNT11-stethoscope	S T EH TH AH S K OW P	HH EH K AH S K OW S
wozniak03a-BNT12-unicorn	Y UW N IY K AO R N	Y UW N IH K AO R N
wozniak03a-BNT13-tripod	T R EH N	T R AY
wozniak03a-BNT14-sphinx	S P IH N CH	S P IH N CH
wozniak03a-BNT15-palette	P AE L AH T	P AA T IH T
wozniak03a-VNT01-cut	N DH AH S IH Z ER Z	DH AH S IH Z ER Z
wozniak03a-VNT02-bark	HH AH D AH L	HH AA AH L
wozniak03a-VNT04-send	DH AH L EH T ER IH Z	AH N EH T UH IH Z
wozniak03a-VNT05-drive	D R AY V IH NG	T R AY V IH NG
wozniak03a-VNT06-wash	W AA SH IH NG D AH	W AO SH IH NG D AH
wozniak03a-VNT07-read	R IY D IH NG DH AH	R IY D IH NG DH AH
wozniak03a-VNT08-laugh	L AE F IH N	L AE K AH M
wozniak03a-VNT09-watch	DH AH D AA G IH Z IH N DH AH K AE T	DH AH D AA G IH Z IH N DH AH K AE T
wozniak03a-VNT10-give	P R EH Z AH N	P R IH Z AH N
wozniak03a-VNT11-swim	S W IH M AH N S W IH M AH N	S W IH M IH N S W IH M IH N
wozniak03a-VNT12-stir	S T ER IH NG S T ER IH NG	S T ER IH NG S T ER R IH NG
wozniak03a-VNT13-pinch	P IH N CH IH N	P IH N CH IH N
wozniak03a-VNT14-crawl	W AA K AH W EY	V AA L K AH IY R
wozniak03a-VNT15-deliver	P AA R S AH L AE N DH AH	P AA SH ER IH N DH AH
wozniak03a-VNT16-pour	D R IH NG K IH NG DH AH	D R IH NG K IH M DH EY
wozniak03a-VNT17-howl	HH AW L IH N	HH OW D IH N
wozniak03a-VNT18-throw	F L IH NG IH NG DH AH	F IH NG IH NG AH
wozniak03a-VNT19-bite	B AY T IH NG DH AH	B AY T IH N AH
wozniak03a-VNT21-tickle	T IH K AH L IH N	T IH K AH L IH N
wozniak03a-VNT22-shave	CH EY V IH N	SH EY V IH NG
wright206a-BNT01-house	HH AW S	AH HH AW S
wright206a-BNT03-toothbrush	T IY TH	T IY TH
wright206a-BNT06-volcano	F AY ER	F AY ER
wright206a-BNT07-canoe	R OW K AH L IH NG	B OW K AH DX IH NG
wright206a-VNT01-cut	K AH T S	K AH T S
wright206a-VNT02-bark	AH M AH M SH AW T SH AW T	AH M AH M SH AW T SH AW T
wright206a-VNT03-put	N OW B AH T D AW N	N OW B EH D AW N
wright206a-VNT04-send	AH M R IY D IH NG	AH M R IY D IH NG
wright206a-VNT05-drive	AH M DH AH K AA R AH M L AY T DH AH D R AY V IH NG DH AH K AA R	AH M K AA R AH M L AY T IH D R AY V IH NG DH AH K AA R
wright206a-VNT06-wash	AH M S OW P	AH M S OW P
wright206a-VNT07-read	M UW Z IH K	M UW Z IH K
wright206a-VNT08-laugh	L AE F	L AE F
wright206a-VNT09-watch	D AA G AE N K AE T S T IY V IY	D AA G AE K AE T T IY V IY
wright206a-VNT10-give	AH M G IH V	AH M G IH V
wright206a-VNT11-swim	R EY S AH M R EY S AH M	AH M R EY S AH M R EY S AH N
wright206a-VNT12-stir	M AA M AH M AH M <sil> IY T N OW AH M W AA DX ER N OW AH M	M AA N AH M AH M IY N OW W AA D ER N OW R AH M
wright206a-VNT13-pinch	AH M AH M AW CH	AH M AH M AW CH
wright206a-VNT14-crawl	OW AH G ER L AH M P L EY IH NG D AH G ER L	OW G ER AH M P L EY IH N D AH G ER L
wright206a-VNT15-deliver	G IH V AH M	G IH V AH M
wright206a-VNT16-pour	G ER L AH M B OY G ER L AH M B OY AH M K IH CH AH N N OW AH M G ER L AE N B OY K IH CH AH N AH M P L IY Z G ER L AE N B OY	G ER L AH M B OY G ER L AH M B OY AH M K IH CH IH N N OW R AH M G ER L AH M B OY K IH CH IH N AH M P L IY Z G ER AH M B OY
wright206a-VNT18-throw	K EH CH	K AE CH
wright206a-VNT19-bite	AH M B AY T IH NG	AH M B AY T IH NG
wright206a-VNT20-shove	AH M F AY T IH NG DH AH D AA G N OW N OW M W EY F AY <sil> B OY AE N D G ER L <sil> W EY B OY AE N D G ER L K IH K DH AH G ER L	AH M F AY T IH NG DH AH D AA G N OW N OW M AY T S F AY B OY AE N D G ER L B AY B OY AE N D G ER L K EY DH AH G ER L
wright206a-VNT21-tickle	AH F AH N IY L AE F M AA M N OW D AE D N OW G ER L AE N D B OY L AE F	AH F AH N IY L AE F M AA M N OW D AE D N OW G ER L AE N B OY L AE F
wright206a-VNT22-shave	G ER L AH M R EY Z ER	G ER L AH M R EY Z ER
